[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=45.95)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=40.17)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=46.92)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Malicious (score=56.55)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=43.76)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=45.88)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=47.28)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=42.21)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=40.56)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=46.38)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:14] WARNING  | Detector | Prediction: Suspicious (score=41.74)
[2026-04-06 22:01:14] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:14] WARNING  | Detector | Prediction: Suspicious (score=40.69)
[2026-04-06 22:01:14] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:14] WARNING  | Detector | Prediction: Suspicious (score=43.57)
[2026-04-06 22:01:14] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:14] WARNING  | Detector | Prediction: Malicious (score=60.14)
[2026-04-06 22:01:14] INFO     | FlaskApp | Processed 25 traffic samples
[2026-04-06 22:01:20] INFO     | NetworkMonitor | Simulated 25 packets
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Malicious (score=55.88)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Suspicious (score=44.73)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Malicious (score=52.47)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Malicious (score=60.3)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Suspicious (score=42.2)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Malicious (score=56.63)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Suspicious (score=41.19)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:20] WARNING  | Detector | Prediction: Suspicious (score=47.93)
[2026-04-06 22:01:20] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=43.98)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=43.55)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=48.73)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Malicious (score=52.72)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=46.17)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=45.83)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=41.38)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=43.94)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=42.02)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=47.78)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=42.31)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:21] WARNING  | Detector | Prediction: Suspicious (score=43.5)
[2026-04-06 22:01:21] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:22] WARNING  | Detector | Prediction: Suspicious (score=45.24)
[2026-04-06 22:01:22] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:22] WARNING  | Detector | Prediction: Suspicious (score=40.62)
[2026-04-06 22:01:22] INFO     | Detector | Model loaded from disk
